우선순위,문제ID,회차,문제번호,주제,현재해설길이,개선사유,문제미리보기
높음,2022_round3,2022년 회3,Q004,일반,200,범용적 패턴 + 짧은 해설 (패턴 발견: 코드 실행 결과 분석 문제입니다),아래 코드에 대한 출력 값을 작성하시오.
높음,2022_round2,2022년 회2,Q008,일반,201,범용적 패턴 + 짧은 해설 (패턴 발견: 코드 실행 결과 분석 문제입니다),다음 소스코드에 대한 출력값을 작성하시오.
높음,2022_round2,2022년 회2,Q016,c,206,범용적 패턴 + 짧은 해설 (패턴 발견: 코드 실행 결과 분석 문제입니다),다음 C언어 코드에서 알맞는 출력값을 작성하시오.
높음,2022_round3,2022년 회3,Q020,java,208,범용적 패턴 + 짧은 해설 (패턴 발견: 코드 실행 결과 분석 문제입니다),다음 자바 코드에 대한 출력 값을 작성하시오.
높음,2023_round1,2023년 회1,Q020,java,208,범용적 패턴 + 짧은 해설 (패턴 발견: 코드 실행 결과 분석 문제입니다),다음 자바 코드에 대한 출력 값을 작성하시오.
높음,2022_round3,2022년 회3,Q007,일반,218,범용적 패턴 + 짧은 해설 (패턴 발견: 문제의 이미지를 참고하여),아래 데이터 명령어를 적용할 경우 알맞는 출력값을 작성하시오.  ​
높음,2023_round2,2023년 회2,Q014,java,220,범용적 패턴 + 짧은 해설 (패턴 발견: 코드 실행 결과 분석 문제입니다),다음은 자바에 대한 문제이다. 알맞은 출력값을 작성하시오.
높음,2022_round3,2022년 회3,Q009,python,275,범용적 패턴 + 짧은 해설 (패턴 발견: 코드 실행 결과 분석 문제입니다),다음 파이썬 코드에 대한 출력값을 작성하시오.
중간,2023_round3,2023년 회3,Q001,java,178,단계별 실행 추적 부족,다음은 Java 코드이다. 올바른 출력 결과를 작성하시오.
중간,2023_round2,2023년 회2,Q001,c,231,단계별 실행 추적 부족,다음은 C언어 코드의 문제이다. 보기의 조건에 맞도록 괄호 안에 알맞은 코드를 작성하시오. 입력값이 54321일 경우 출력값이 43215로 출력되어야 한다.
중간,2022_round3,2022년 회3,Q013,일반,366,단계별 실행 추적 부족,다음 코드에 대한 출력 값을 작성하시오.
중간,2022_round3,2022년 회3,Q017,객체지향,388,단계별 실행 추적 부족,"다음은 UML에 관한 설명이다. 괄호 안에 알맞는 답을 작성하시오. UML은 통합 모델링 언어로써, 시스템을 모델로 표현해주는 대표적인 모델링 언어이다. 구성 요소로는 사물, ( "
중간,2022_round3,2022년 회3,Q001,c,420,범용적 패턴 발견 (패턴 발견: 문제의 이미지를 참고하여),"아래는 C언어의 2차원 배열 형태이다. field의 경우 2차원 배열 형태는 예시처럼 출력되므로, 이를 참고하여  mines의 2차원 배열 형태를 작성하시오."
중간,2022_round1,2022년 회1,Q006,python,501,단계별 실행 추적 부족,다음은 파이썬 코드에서 출력되는 a와 b의 값을 작성하시오.
중간,2022_round1,2022년 회1,Q012,java,507,단계별 실행 추적 부족,다음 설명에 대한 알맞는 단어를 작성하시오. 자바 프로그래밍 언어를 이용한 xUnit의 테스트 기법으로써 숨겨진 단위 테스트를 끌어내어 정형화시켜 단위 테스트를 쉽게 해주는 테스트
중간,2024_round1,2024년 회1,Q012,python,574,단계별 실행 추적 부족,다음 파이썬 코드에 대한 알맞는 출력 값을 작성하시오.
중간,2022_round2,2022년 회2,Q007,java,647,범용적 패턴 발견 (패턴 발견: 문제의 이미지를 참고하여),다음 자바 코드에 알맞는 출력값을 작성하시오.
중간,2023_round2,2023년 회2,Q003,c,693,단계별 실행 추적 부족,"다음은 c언어의 코드이다. 보기의 조건에 맞추어 알맞은 출력값을 작성하시오. 입력값은 홍길동, 김철수, 박영희 순서로 주어진다."
중간,2024_round3,2024년 회3,Q006,객체지향,698,단계별 실행 추적 부족,다음은 GoF 디자인 패턴과 관련된 문제이다. 괄호 안에 알맞는 용어를 작성하시오. (        ) 패턴은 클래스나 객체들이 서로 상호작용하는 방법이나 책임 분배 방법을 정의하
중간,2022_round2,2022년 회2,Q013,python,762,범용적 패턴 발견 (패턴 발견: 문제의 이미지를 참고하여),다음은 파이썬 코드이다. 알맞는 출력값을 작성하시오.
중간,2024_round1,2024년 회1,Q020,객체지향,775,단계별 실행 추적 부족,다음 아래의 내용을 보고  알맞는 용어를 작성하시오. 구체적인 클래스에 의존하지 않고 서로 연관되거나 의존적인 객체들의 조합을 만드는 인터페이스를 제공하는 패턴이다. 연관성이 있는
중간,2024_round2,2024년 회2,Q010,객체지향,782,단계별 실행 추적 부족,아래는 디자인 패턴에 관한 설명이다. 아래 설명을 읽고 보기에서 알맞는 용어를 작성하시오.  - 컬렉션 객체의 내부 구조를 노출하지 않고 순차적으로 접근할 수 있게 하는 패턴이다.
중간,2025_round2,2025년 회2,Q014,c,805,단계별 실행 추적 부족,다음은 C언어의 문제이다. 아래 코드를 보고  알맞는 출력값을 작성하시오.
중간,2023_round2,2023년 회2,Q007,일반,822,범용적 패턴 발견 (패턴 발견: 문제의 이미지를 참고하여),다음은 소스코드의 알맞은 출력을 작성하시오.
중간,2024_round3,2024년 회3,Q013,일반,825,단계별 실행 추적 부족,다음은 테스트 커버리지에 대한 문제이다. 아래 내용에 알맞는 답을 보기에서 골라 작성하시오.  1. 테스트를 통해 프로그램의 모든 문장을 최소한 번씩 실행했는지를 측정  2. 프로
중간,2025_round2,2025년 회2,Q007,객체지향,842,단계별 실행 추적 부족,다음은 디자인 패턴에 관한 문제이다. 아래 내용을 보고  알맞는 단어를 작성하시오. 어떤 객체에 대한 접근을 제어하거나 추가적인 기능을 부여하기 위해 해당 객체의 대리 객체를 사용
중간,2024_round2,2024년 회2,Q020,java,852,단계별 실행 추적 부족,다음은 Java에 대한 문제이다. 아래 코드를 확인하여  알맞는 출력 값을 작성하시오.
중간,2025_round1,2025년 회1,Q003,일반,857,단계별 실행 추적 부족,아래의 내용에서 설명 글의 괄호안의 용어를 영문 약자로 작성하시오. (        ) 은/는 3글자의 영어 약자로 이루어진 오류 기법으로 데이터를 전송하거나 저장할 때 데이터의 
중간,2025_round1,2025년 회1,Q014,객체지향,882,단계별 실행 추적 부족,아래는 디자인 패턴에 대한 설명이다. 알맞는 답을 보기에 골라 작성하시오. 서로 다른 인터페이스를 가진 클래스들을 연결해 사용 가능하게 한다. 기존 클래스(Adaptee)를 원하는
중간,2025_round1,2025년 회1,Q004,일반,909,단계별 실행 추적 부족,"다음은 악성코드 관련된 문제이다. 아래 내용을 확인하여  보기에 골라 작성하시오. 사용자가 원치 않는 소프트웨어를 구매하도록 조작하기 위해 사회 공학을 사용하여 충격, 불안 또는 "
중간,2025_round2,2025년 회2,Q017,python,918,단계별 실행 추적 부족,다음은 Pyhon언어의 문제이다. 아래 코드를 보고  알맞는 출력값을 작성하시오.
중간,2021_round1,2021년 회1,Q018,객체지향,977,범용적 패턴 발견 (패턴 발견: 에 대한 이해를 묻는 문제입니다),"시스템 객체의 접근을 개인 또는 그룹의 식별자에 기반을 둔 방법, 어떤 종류의 접근 권한을 가진 사용자가 다른 사용자에 자신의 판단에 따라 권한을 허용하는 접근제어 방식은 ?"
중간,2025_round2,2025년 회2,Q001,포인터,981,단계별 실행 추적 부족,"다음은 파일 구조와 관련된 설명이다. 설명을 읽고 괄호 안에 들어갈 가장 알맞은 용어를 작성하시오 . 데이터베이스의 물리 설계 시 , 레코드에 접근하는 방법은 순차 접근 방법 , "
중간,2023_round1,2023년 회1,Q014,일반,983,단계별 실행 추적 부족,다음 코드에서 괄호 안에 알맞는 값을 변수명으로 작성하시오. (코드가 해깔려 시험문제와 동일하지 않지만 패턴이 비슷하다는 점만 참고해주세요.) 출력 값 : 1 2 3 5 7 8
중간,2023_round2,2023년 회2,Q002,java,992,단계별 실행 추적 부족,"다음은 JAVA 코드 문제이다. 가지고 있는 돈이 총 4620원일 경우 1000원, 500원, 100원, 10원의 지폐 및 동전을 이용하여 보기의 조건에 맞춰 최소한의 코드를 통해"
중간,2023_round2,2023년 회2,Q019,python,1065,범용적 패턴 발견 (패턴 발견: 문제의 이미지를 참고하여),다음 파이썬 코드에서 알맞는 출력값을 작성하시오.
중간,2023_round3,2023년 회3,Q010,"c, 포인터",1112,단계별 실행 추적 부족,다음은 C언어의 포인터 문제이다. 알맞는 출력값을 작성하시오.
중간,2025_round2,2025년 회2,Q010,java,1248,단계별 실행 추적 부족,다음은 Java언어의 문제이다. 아래 코드를 보고  알맞는 출력값을 작성하시오.
중간,2021_round1,2021년 회1,Q013,포인터,1249,범용적 패턴 발견 (패턴 발견: 에 대한 이해를 묻는 문제입니다),"시스템 통합에 사용되는 솔루션으로 구축 유형에는 Point to Point, Hub & Spoke, Message Bus가 있다. 기업에서 운영되는 서로 다른 플랫폼 및 애플리케이"
중간,2023_round3,2023년 회3,Q011,java,1317,단계별 실행 추적 부족,다음은 Java 코드에 대한 알맞는 출력값을 작성하시오.
중간,2022_round2,2022년 회2,Q017,java,1422,단계별 실행 추적 부족,다음 자바코드에서 알맞는 출력값을 작성하시오.
중간,2025_round2,2025년 회2,Q009,java,1475,단계별 실행 추적 부족,다음은 Java언어의 문제이다. 아래 코드를 보고  알맞는 출력값을 작성하시오.
중간,2023_round1,2023년 회1,Q001,"java, python",1559,단계별 실행 추적 부족,class Static{  public int a = 20; static int b = 0;  }  public class Main{ public static void main(S
중간,2023_round1,2023년 회1,Q002,"c, 포인터",1683,단계별 실행 추적 부족,"#include <stdio.h>  int main(){ char a[] = ""Art""; char* p = NULL; p = a;  printf(""%s\n"", a); printf("
중간,2022_round3,2022년 회3,Q019,java,2034,"범용적 패턴 발견 (패턴 발견: \[답\].*\*\*[""\']?\d+[""\']?\*\*)",다음 자바 코드에 대한 출력 값을 작성하시오.
낮음,2024_round2,2024년 회2,Q019,c,491,비교적 짧은 해설,다음은 C언어의 구조체에 대한 문제이다. 아래 코드를 확인하여  알맞는 출력 값을 작성하시오.
